year_num,quarter_num,region_name,country_name,city_name
2023,1,Central Europe,Austria,Vienna
2023,2,Central Europe,Austria,Vienna
2023,3,Central Europe,Austria,Vienna
2023,4,Central Europe,Austria,Vienna
2023,1,Central Europe,Germany,Berlin
2023,2,Central Europe,Germany,Berlin
2023,3,Central Europe,Germany,Berlin
2023,4,Central Europe,Germany,Berlin
2023,1,Eastern Europe,Russia,Moscow
2023,2,Eastern Europe,Russia,Moscow
2023,3,Eastern Europe,Russia,Moscow
2023,4,Eastern Europe,Russia,Moscow
2023,1,Western Europe,United Kingdom,London
2023,2,Western Europe,United Kingdom,London
2023,3,Western Europe,United Kingdom,London
2023,4,Western Europe,United Kingdom,London
