year_num,region_name,country_name,city_name,Data Volume (KB)
2023,Eastern Europe,Belarus,Minsk,426504
2024,Eastern Europe,Belarus,Minsk,426177
2023,Eastern Europe,Greece,Athens,716910
2024,Eastern Europe,Greece,Athens,705258
2023,Eastern Europe,Russia,Kazan,398957
2024,Eastern Europe,Russia,Kazan,408980
2023,Eastern Europe,Russia,Moscow,1488473
2024,Eastern Europe,Russia,Moscow,1477770
2023,Eastern Europe,Russia,St. Petersburg,1078545
2024,Eastern Europe,Russia,St. Petersburg,1074564
2023,Eastern Europe,Russia,Ufa,938052
2024,Eastern Europe,Russia,Ufa,937628
2023,Eastern Europe,Serbia,Belgrade,428458
2024,Eastern Europe,Serbia,Belgrade,427044
2023,Eastern Europe,Turkey,Ankara,769774
2024,Eastern Europe,Turkey,Ankara,752134
2023,Eastern Europe,Turkey,Istanbul,4159445
2024,Eastern Europe,Turkey,Istanbul,4192108
